season,career_games,career_wins,career_top5,career_damage,career_damage_max,career_damage_avg,career_kills,career_deaths,career_kdr,career_max_kills,career_knockdowns,career_assists,career_win_streak,career_revives,career_respawns,season_games,season_wins,season_top5,season_damage,season_damage_max,season_damage_avg,season_kills,season_deaths,season_kdr,season_max_kills,season_knockdowns,season_assists,season_win_streak,season_revives,season_respawns
10,12400,633,4261,5573396,1634,449.47,12056,15487,0.78,4,16475,10020,1,5977,1608,400,13,161,173396,1634,460.27,256,287,0.56,4,675,420,1,177,108
11,12873,665,4397,5675453,2363,440.88,12603,15824,0.8,7,16900,10229,2,6298,1675,473,32,136,102057,2363,335.06,547,337,0.48,7,425,209,2,321,67
12,13504,699,4587,5775780,2363,427.71,12779,16227,0.79,7,17480,10523,3,6426,1719,631,34,190,100327,1975,457.94,176,403,0.62,5,580,294,3,128,44
13,14236,734,4655,5934751,2363,416.88,12911,16858,0.77,7,18120,11031,3,6687,1797,732,35,68,158971,2032,476.32,132,631,0.84,6,640,508,1,261,78
14,14917,745,4825,6197298,2363,415.45,13245,17340,0.76,9,18771,11288,3,6857,1876,681,11,170,262547,2105,372.35,334,482,0.48,9,651,257,2,170,79
15,15409,760,4993,6296914,2363,408.65,13595,17655,0.77,9,19243,11501,3,7184,1983,492,15,168,99616,1956,431.47,350,315,0.57,4,472,213,1,327,107
16,16049,773,5209,6532589,2363,407.04,13835,18198,0.76,9,19587,11870,3,7314,2033,640,13,216,235675,1901,359.78,240,543,0.55,6,344,369,1,130,50
17,16640,805,5287,6693501,2363,402.25,14176,18806,0.75,9,19869,12307,3,7444,2076,591,32,78,160912,1365,444.51,341,608,0.87,4,282,437,2,130,43
18,17313,832,5427,6768568,2363,390.95,14698,19162,0.77,9,20163,12659,3,7783,2168,673,27,140,75067,1417,462.9,522,356,0.55,7,294,352,3,339,92
19,17751,871,5579,6959080,2366,392.04,15202,19715,0.77,9,20828,13129,3,7825,2231,438,39,152,190512,2366,318.25,504,553,0.76,5,665,470,2,42,63
20,18173,884,5732,7043641,2366,387.59,15345,20055,0.77,9,21534,13507,3,7885,2274,422,13,153,84561,1607,348.55,143,340,0.83,6,706,378,3,60,43
21,18816,894,5863,7325168,2366,389.31,15822,20276,0.78,9,21975,13670,3,8213,2357,643,10,131,281527,1779,355.79,477,221,0.49,7,441,163,3,328,83
22,19261,914,5952,7554591,2366,392.22,16159,21025,0.77,9,22614,14016,3,8459,2389,445,20,89,229423,1437,478.32,337,749,0.38,7,639,346,1,246,32
23,19753,930,6097,7765877,2366,393.15,16507,21266,0.78,9,23117,14313,3,8792,2415,492,16,145,211286,1523,288.37,348,241,0.36,8,503,297,2,333,26
24,20240,967,6209,7831380,2366,386.93,16642,21843,0.76,9,23559,14480,3,8875,2492,487,37,112,65503,2315,450.0,135,577,0.72,7,442,167,1,83,77
